Order_ID,Order_Date,Region,City,Product_Category,Product_Name,Sales,Cost,Profit,Discount,Customer_Satisfaction,Delivery_Days,Customer_Age,Customer_Segment
ORD00001,2025-04-13,West,Lagos,Office Supplies,Office Supplies Item 6,324.81,220.87,91.16,6.6,4.8,4.4,19,Corporate
ORD00002,2025-10-21,North,Kano,Electronics,Electronics Item 1,1315.67,947.28,304.9,8.0,4.6,1.0,44,Corporate
ORD00003,2025-06-19,North,Kano,Furniture,Furniture Item 3,2122.98,1868.22,165.63,7.0,5.0,3.7,54,Corporate
ORD00004,2025-01-21,South,Uyo,Office Supplies,Office Supplies Item 7,439.42,298.81,67.48,27.7,3.1,7.3,61,Consumer
ORD00005,2025-02-04,West,Ibadan,Electronics,Electronics Item 2,826.48,595.07,196.31,7.1,4.0,5.8,43,Consumer
ORD00006,2025-07-21,West,Ibadan,Office Supplies,Office Supplies Item 14,478.67,325.49,129.43,8.3,5.0,4.9,57,Corporate
ORD00007,2025-08-25,South,Port Harcourt,Furniture,Furniture Item 3,1727.75,1520.42,44.34,15.7,2.8,7.4,34,Corporate
ORD00008,2025-10-16,East,Owerri,Furniture,Furniture Item 2,1299.63,1143.67,107.93,6.2,4.6,4.4,50,Consumer
ORD00009,2025-03-03,South,Port Harcourt,Furniture,Furniture Item 11,1644.26,1446.95,-34.99,23.5,3.6,4.7,26,Corporate
ORD00010,2025-12-12,North,Kaduna,Electronics,Electronics Item 4,1362.63,981.09,267.42,14.0,3.8,7.2,47,Consumer
ORD00011,2025-08-19,South,Port Harcourt,Electronics,Electronics Item 12,1119.54,806.07,140.49,25.8,2.6,7.0,61,Consumer
ORD00012,2025-11-27,South,Port Harcourt,Office Supplies,Office Supplies Item 7,609.26,414.3,142.76,14.3,2.2,8.0,23,Consumer
ORD00013,2025-05-17,South,Port Harcourt,Electronics,Electronics Item 14,1109.91,799.14,188.11,18.4,2.4,8.7,56,Consumer
ORD00014,2025-04-23,North,Kano,Electronics,Electronics Item 5,1296.89,933.76,276.79,11.1,4.2,3.2,49,Small Business
ORD00015,2025-05-06,North,Kano,Furniture,Furniture Item 6,2323.55,2044.73,197.85,5.8,3.7,5.5,41,Consumer
ORD00016,2025-04-08,East,Enugu,Office Supplies,Office Supplies Item 13,369.18,251.04,89.38,13.0,3.7,4.0,20,Consumer
ORD00017,2025-12-12,South,Port Harcourt,Electronics,Electronics Item 7,1293.3,931.18,167.09,25.1,2.6,4.7,33,Corporate
ORD00018,2025-03-01,South,Port Harcourt,Electronics,Electronics Item 3,1106.37,796.58,124.07,28.0,3.4,5.3,37,Small Business
ORD00019,2025-04-30,West,Ibadan,Electronics,Electronics Item 6,1046.94,753.8,261.42,5.1,4.3,3.1,52,Corporate
ORD00020,2025-06-18,North,Kano,Electronics,Electronics Item 7,761.21,548.07,175.44,8.3,4.7,4.9,20,Corporate
ORD00021,2025-02-02,South,Port Harcourt,Furniture,Furniture Item 12,1130.67,994.99,-24.84,23.7,3.3,7.4,64,Consumer
ORD00022,2025-11-13,South,Uyo,Electronics,Electronics Item 1,1356.12,976.4,231.41,18.2,3.1,5.8,63,Small Business
ORD00023,2025-04-09,West,Ibadan,Electronics,Electronics Item 6,1216.25,875.7,280.94,8.2,4.3,3.6,20,Consumer
ORD00024,2025-10-07,North,Kaduna,Office Supplies,Office Supplies Item 1,383.43,260.73,107.97,6.4,4.2,5.3,57,Corporate
ORD00025,2025-10-26,East,Enugu,Electronics,Electronics Item 9,1258.88,906.4,249.23,13.7,4.2,4.6,53,Corporate
ORD00026,2025-11-17,North,Kano,Office Supplies,Office Supplies Item 2,607.19,412.89,143.66,13.9,3.6,2.6,49,Consumer
ORD00027,2025-12-08,South,Uyo,Furniture,Furniture Item 5,2102.19,1849.93,117.57,10.7,2.9,4.4,61,Small Business
ORD00028,2025-04-13,North,Kaduna,Electronics,Electronics Item 13,1226.01,882.73,276.24,9.1,4.4,3.1,59,Consumer
ORD00029,2025-05-25,South,Port Harcourt,Furniture,Furniture Item 5,1297.86,1142.12,52.2,13.3,3.1,10.1,18,Small Business
ORD00030,2025-07-11,South,Uyo,Office Supplies,Office Supplies Item 14,310.78,211.33,69.36,16.1,3.2,5.5,22,Consumer
ORD00031,2025-08-06,East,Enugu,Furniture,Furniture Item 2,1605.6,1412.93,106.11,9.0,4.8,2.5,48,Consumer
ORD00032,2025-05-27,South,Port Harcourt,Furniture,Furniture Item 3,2031.14,1787.41,-36.54,23.0,3.4,8.8,50,Consumer
ORD00033,2025-06-28,West,Ibadan,Furniture,Furniture Item 10,1708.35,1503.35,146.45,5.7,4.6,3.3,51,Consumer
ORD00034,2025-07-15,East,Owerri,Furniture,Furniture Item 9,1489.41,1310.68,55.63,13.8,4.5,5.0,53,Consumer
ORD00035,2025-07-11,East,Enugu,Furniture,Furniture Item 9,2099.18,1847.28,146.0,8.4,4.8,3.3,52,Consumer
ORD00036,2025-09-30,South,Uyo,Office Supplies,Office Supplies Item 5,452.05,307.39,84.56,22.2,3.0,9.2,22,Consumer
ORD00037,2025-01-25,South,Port Harcourt,Office Supplies,Office Supplies Item 11,462.41,314.44,103.98,15.9,2.8,8.1,28,Consumer
ORD00038,2025-03-17,East,Owerri,Furniture,Furniture Item 10,1246.99,1097.35,104.66,6.0,4.0,4.3,26,Corporate
ORD00039,2025-05-02,North,Kaduna,Electronics,Electronics Item 13,1267.73,912.77,244.88,14.5,3.9,3.4,61,Consumer
ORD00040,2025-04-01,South,Port Harcourt,Electronics,Electronics Item 9,932.97,671.74,177.04,15.0,3.5,5.5,56,Corporate
ORD00041,2025-12-14,West,Lagos,Furniture,Furniture Item 6,1882.09,1656.24,120.11,9.4,3.4,3.0,38,Small Business
ORD00042,2025-08-17,South,Port Harcourt,Office Supplies,Office Supplies Item 7,543.91,369.86,103.81,21.5,3.8,7.4,28,Consumer
ORD00043,2025-08-12,North,Kano,Furniture,Furniture Item 2,1185.5,1043.24,93.31,6.9,3.4,4.9,45,Consumer
ORD00044,2025-02-10,South,Port Harcourt,Office Supplies,Office Supplies Item 13,359.42,244.41,75.21,18.5,3.2,7.2,23,Small Business
ORD00045,2025-09-13,East,Enugu,Furniture,Furniture Item 9,2148.8,1890.95,66.1,14.9,4.3,3.4,39,Corporate
ORD00046,2025-06-26,West,Ibadan,Electronics,Electronics Item 5,788.1,567.43,190.69,6.3,5.0,4.4,55,Small Business
ORD00047,2025-01-23,East,Enugu,Office Supplies,Office Supplies Item 4,264.93,180.15,73.57,7.1,3.9,3.2,18,Corporate
ORD00048,2025-10-15,North,Kaduna,Electronics,Electronics Item 11,932.34,671.29,195.52,11.7,4.2,5.9,29,Corporate
ORD00049,2025-08-24,South,Uyo,Office Supplies,Office Supplies Item 2,427.67,290.82,80.27,22.1,3.5,11.8,55,Corporate
ORD00050,2025-12-04,South,Port Harcourt,Electronics,Electronics Item 1,1315.17,946.92,188.82,22.7,3.1,7.9,22,Corporate
ORD00051,2025-05-18,West,Ibadan,Office Supplies,Office Supplies Item 9,295.68,201.07,82.04,7.1,3.5,5.4,40,Consumer
ORD00052,2025-04-05,South,Uyo,Furniture,Furniture Item 10,1846.11,1624.58,52.33,15.3,3.8,7.9,36,Corporate
ORD00053,2025-04-02,South,Uyo,Electronics,Electronics Item 9,956.92,688.98,177.76,15.7,3.7,4.9,39,Consumer
ORD00054,2025-12-16,North,Kano,Electronics,Electronics Item 13,1204.93,867.55,281.22,7.8,4.5,4.7,32,Consumer
ORD00055,2025-02-25,South,Uyo,Office Supplies,Office Supplies Item 12,590.07,401.25,145.98,12.1,3.1,8.8,62,Small Business
ORD00056,2025-10-21,South,Port Harcourt,Electronics,Electronics Item 9,966.48,695.87,159.29,19.2,3.2,7.7,34,Consumer
ORD00057,2025-01-25,East,Enugu,Furniture,Furniture Item 12,2300.66,2024.58,105.35,12.4,5.0,3.3,36,Consumer
ORD00058,2025-04-11,South,Uyo,Furniture,Furniture Item 6,2012.82,1771.28,31.09,17.4,3.3,6.6,21,Small Business
